                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    132,                 1.1303,                 1.0425,                 1.0739,                0.74166,                0.69394,                0.73761,                0.43961,                 1.4179,                 1.3032,                 1.3175,              0.0070445,              0.0070445,              0.0070445
                    133,                 1.1422,                 1.0356,                 1.0686,                0.63539,                0.47879,                0.53815,                0.30647,                 1.6273,                 2.1004,                 1.4109,              0.0070256,              0.0070256,              0.0070256
                    134,                 1.1477,                 1.0594,                 1.0766,                0.68701,                0.55873,                0.63364,                0.36515,                 1.5407,                 1.8705,                 1.4092,              0.0070068,              0.0070068,              0.0070068
                    135,                 1.1229,                  1.042,                 1.0612,                 0.7791,                    0.7,                0.75134,                0.42341,                 1.4383,                 1.2776,                 1.3394,               0.006988,               0.006988,               0.006988
                    136,                 1.1199,                 1.0365,                 1.0717,                0.77302,                0.62953,                0.71538,                0.41817,                 1.4454,                 1.3347,                 1.3402,              0.0069692,              0.0069692,              0.0069692
                    137,                 1.1096,                 1.0263,                 1.0594,                 0.7539,                0.66838,                0.74153,                0.44039,                 1.3959,                 1.3189,                 1.2767,              0.0069504,              0.0069504,              0.0069504
                    138,                 1.1189,                 1.0266,                 1.0513,                0.75489,                0.65152,                0.72581,                  0.436,                 1.3511,                 1.4213,                 1.2689,              0.0069315,              0.0069315,              0.0069315
                    139,                  1.108,                 1.0076,                 1.0594,                0.75086,                0.61515,                0.67953,                0.40763,                 1.4302,                 1.4752,                 1.3322,              0.0069127,              0.0069127,              0.0069127
                    140,                 1.1306,                  1.011,                 1.0699,                0.75283,                0.61818,                0.67939,                0.38927,                  1.452,                 1.5355,                 1.3269,              0.0068939,              0.0068939,              0.0068939
                    141,                 1.0966,                0.99046,                 1.0474,                0.82056,                0.68485,                0.76074,                0.44485,                 1.4074,                 1.2738,                 1.2969,              0.0068751,              0.0068751,              0.0068751
                    142,                 1.1037,                0.99887,                 1.0604,                0.73262,                0.69091,                 0.7342,                0.43217,                 1.4198,                 1.3148,                 1.3151,              0.0068563,              0.0068563,              0.0068563
                    143,                 1.1063,                0.99189,                 1.0543,                0.67016,                0.59723,                0.64622,                0.38031,                 1.4454,                  1.594,                 1.3258,              0.0068374,              0.0068374,              0.0068374
                    144,                 1.1145,                 1.0139,                 1.0575,                0.71428,                0.65152,                0.70371,                0.42975,                 1.3725,                 1.5145,                 1.3128,              0.0068186,              0.0068186,              0.0068186
                    145,                 1.1063,                0.99209,                 1.0518,                 0.6844,                0.68999,                 0.7174,                0.44263,                 1.3782,                 1.2671,                   1.29,              0.0067998,              0.0067998,              0.0067998
                    146,                 1.0962,                 1.0093,                 1.0466,                0.77775,                    0.6,                0.69401,                0.39959,                 1.4761,                 1.3511,                 1.3758,               0.006781,               0.006781,               0.006781
                    147,                 1.0965,                 0.9959,                 1.0525,                0.78824,                0.59784,                 0.7162,                0.42443,                 1.3981,                 1.4619,                 1.3183,              0.0067622,              0.0067622,              0.0067622
                    148,                 1.1035,                0.99796,                 1.0577,                0.77739,                0.65152,                 0.7299,                0.43865,                 1.4006,                  1.249,                 1.2948,              0.0067433,              0.0067433,              0.0067433
                    149,                 1.0715,                0.98566,                  1.042,                0.80111,                0.63471,                0.72426,                 0.4312,                 1.4088,                 1.2972,                 1.3016,              0.0067245,              0.0067245,              0.0067245
