                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    105,                 2.1542,                  1.076,                  1.863,                0.75618,                0.65455,                0.74457,                0.45293,                 2.2687,                 1.1253,                 2.0235,              0.0046747,              0.0046747,              0.0046747
                    106,                 2.1414,                 1.1064,                 1.8758,                0.71224,                0.66004,                0.73338,                0.44792,                 2.3206,                 1.1411,                 2.0321,               0.004663,               0.004663,               0.004663
                    107,                 2.1481,                 1.0803,                 1.8525,                0.69208,                0.66667,                 0.7393,                0.45917,                 2.2802,                 1.0853,                 2.0101,              0.0046513,              0.0046513,              0.0046513
                    108,                 2.1373,                 1.0847,                 1.8595,                0.74482,                0.66061,                0.72241,                0.44006,                 2.3368,                 1.1131,                 2.0491,              0.0046396,              0.0046396,              0.0046396
                    109,                 2.1521,                 1.0615,                 1.8714,                0.77556,                0.58639,                0.73706,                0.45132,                 2.2982,                 1.0687,                  2.032,              0.0046279,              0.0046279,              0.0046279
                    110,                 2.1261,                  1.064,                 1.8399,                0.68772,                0.68182,                0.72609,                0.43685,                 2.3096,                  1.077,                 2.0544,              0.0046162,              0.0046162,              0.0046162
                    111,                 2.1164,                 1.0548,                  1.857,                 0.6699,                0.68877,                0.73122,                0.43642,                 2.3471,                   1.08,                 2.0943,              0.0046046,              0.0046046,              0.0046046
                    112,                 2.1278,                 1.0822,                 1.8513,                0.70182,                 0.6303,                0.70075,                 0.4183,                 2.3892,                 1.1964,                 2.1048,              0.0045929,              0.0045929,              0.0045929
                    113,                 2.1346,                 1.0453,                   1.85,                0.69952,                0.66364,                0.73395,                0.44778,                 2.2997,                 1.0889,                  2.046,              0.0045812,              0.0045812,              0.0045812
                    114,                 2.0937,                  1.041,                 1.8459,                0.71467,                0.66061,                 0.7179,                0.44072,                 2.2943,                 1.1245,                 2.0481,              0.0045695,              0.0045695,              0.0045695
                    115,                 2.0827,                 1.0347,                 1.8395,                0.73036,                 0.6697,                0.74278,                0.45144,                 2.3088,                 1.0747,                 2.0567,              0.0045578,              0.0045578,              0.0045578
                    116,                 2.0962,                 1.0511,                 1.8405,                 0.7135,                0.68674,                0.74828,                0.45201,                 2.2842,                 1.0683,                 2.0248,              0.0045461,              0.0045461,              0.0045461
                    117,                 2.0457,                 1.0115,                  1.807,                0.70401,                0.70303,                 0.7278,                0.44672,                 2.2751,                 1.1018,                 2.0158,              0.0045344,              0.0045344,              0.0045344
                    118,                 2.0553,                 1.0235,                 1.8163,                0.76952,                0.62729,                0.73509,                 0.4504,                 2.2757,                 1.1174,                 2.0099,              0.0045228,              0.0045228,              0.0045228
                    119,                 2.0451,                 1.0171,                 1.8109,                0.70414,                0.65455,                0.72271,                0.43899,                 2.3345,                 1.0662,                 2.0552,              0.0045111,              0.0045111,              0.0045111
                    120,                 2.0896,                  1.038,                 1.8209,                0.65783,                0.70493,                0.72287,                0.44279,                 2.2936,                 1.0731,                 2.0262,              0.0044994,              0.0044994,              0.0044994
                    121,                  2.068,                 1.0415,                 1.8255,                0.76386,                0.64242,                0.74518,                0.45589,                 2.3241,                 1.0428,                 2.0699,              0.0044877,              0.0044877,              0.0044877
                    122,                 2.0446,                      1,                 1.8029,                0.78691,                0.61549,                0.71969,                0.44403,                 2.3203,                  1.088,                 2.0559,               0.004476,               0.004476,               0.004476
                    123,                 2.0518,                 1.0073,                 1.8042,                0.72025,                0.65758,                0.72925,                0.44754,                 2.3543,                 1.0893,                 2.0798,              0.0044643,              0.0044643,              0.0044643
                    124,                 2.0217,                0.99478,                 1.7996,                0.71814,                0.69488,                0.73744,                0.44337,                 2.3277,                 1.0408,                 2.0505,              0.0044526,              0.0044526,              0.0044526
                    125,                 2.0742,                0.99894,                 1.8213,                0.78112,                0.64242,                0.75202,                0.46105,                 2.2479,                 1.0047,                 2.0051,               0.004441,               0.004441,               0.004441
                    126,                 2.0532,                 1.0007,                 1.8189,                0.75576,                0.68485,                0.76897,                0.47065,                  2.284,                0.96576,                 2.0261,              0.0044293,              0.0044293,              0.0044293
                    127,                 2.0227,                 0.9901,                 1.7853,                0.70421,                 0.6493,                0.71125,                0.43557,                 2.2891,                 1.2481,                  2.038,              0.0044176,              0.0044176,              0.0044176
                    128,                 2.0257,                0.98531,                  1.796,                0.71547,                0.67273,                0.72079,                0.44342,                 2.3352,                 1.2044,                 2.0761,              0.0044059,              0.0044059,              0.0044059
                    129,                  2.032,                0.99362,                    1.8,                0.74649,                0.64242,                0.73562,                0.45493,                 2.3397,                  1.077,                 2.0604,              0.0043942,              0.0043942,              0.0043942
                    130,                 1.9828,                0.97377,                 1.7788,                0.69769,                0.70909,                0.73955,                0.44881,                 2.3039,                 1.0684,                 2.0468,              0.0043825,              0.0043825,              0.0043825
                    131,                  1.991,                 0.9634,                 1.7876,                0.73699,                0.67931,                0.73605,                0.45555,                  2.315,                  1.056,                 2.0686,              0.0043708,              0.0043708,              0.0043708
                    132,                  2.015,                 1.0054,                 1.7955,                0.74674,                0.67576,                 0.7545,                0.47358,                 2.2557,                 1.0307,                 1.9851,              0.0043592,              0.0043592,              0.0043592
                    133,                 2.0129,                0.98388,                 1.7847,                0.69514,                0.69697,                0.73592,                 0.4577,                 2.2976,                 1.0217,                 2.0239,              0.0043475,              0.0043475,              0.0043475
                    134,                 2.0096,                0.96469,                 1.7778,                0.70145,                0.68182,                0.73346,                0.43985,                 2.3937,                  1.063,                 2.0956,              0.0043358,              0.0043358,              0.0043358
                    135,                 2.0184,                0.98247,                 1.7949,                0.69404,                0.65758,                0.71783,                0.43957,                 2.3301,                 1.1295,                 2.0721,              0.0043241,              0.0043241,              0.0043241
                    136,                 1.9907,                0.97247,                 1.7799,                 0.6337,                0.65758,                0.68942,                0.42263,                 2.3053,                 1.2832,                 2.0384,              0.0043124,              0.0043124,              0.0043124
                    137,                  1.978,                0.95558,                 1.7693,                 0.7216,                0.68332,                0.74759,                 0.4722,                 2.2073,                 1.0087,                 1.9807,              0.0043007,              0.0043007,              0.0043007
                    138,                 1.9569,                 0.9602,                 1.7662,                0.74552,                0.66667,                0.75285,                0.46143,                 2.2877,                0.99553,                 2.0312,               0.004289,               0.004289,               0.004289
                    139,                 1.9838,                 0.9627,                 1.7794,                0.76313,                0.62483,                 0.7327,                0.45395,                 2.2786,                 1.0176,                 2.0254,              0.0042773,              0.0042773,              0.0042773
                    140,                 1.9355,                0.94525,                 1.7549,                0.68606,                0.68182,                0.73092,                0.44244,                 2.3348,                 1.0933,                 2.0628,              0.0042657,              0.0042657,              0.0042657
                    141,                 1.9474,                0.93677,                 1.7583,                0.74596,                0.67625,                0.73486,                0.45242,                 2.2694,                 1.0715,                 2.0275,               0.004254,               0.004254,               0.004254
                    142,                 1.9806,                0.95453,                 1.7664,                0.70801,                0.67879,                0.72216,                0.43977,                 2.2944,                 1.0662,                 2.0413,              0.0042423,              0.0042423,              0.0042423
                    143,                 1.9319,                0.91921,                 1.7578,                0.78317,                0.62388,                0.72961,                0.44053,                 2.3242,                 1.0961,                 2.0534,              0.0042306,              0.0042306,              0.0042306
                    144,                 1.9806,                 0.9493,                 1.7657,                0.73683,                0.66061,                0.73796,                0.45477,                 2.3093,                 1.0159,                 2.0557,              0.0042189,              0.0042189,              0.0042189
                    145,                 1.9621,                0.93707,                 1.7585,                0.76119,                0.68485,                0.76388,                0.46794,                 2.2224,                0.98055,                 2.0008,              0.0042072,              0.0042072,              0.0042072
                    146,                 1.9263,                0.91763,                 1.7276,                0.68287,                0.72424,                0.74438,                0.45353,                 2.2818,                  1.043,                 2.0342,              0.0041955,              0.0041955,              0.0041955
                    147,                 1.9249,                0.92959,                  1.746,                0.74658,                    0.7,                0.76362,                0.46885,                 2.3091,                0.98597,                  2.037,              0.0041839,              0.0041839,              0.0041839
                    148,                 1.9276,                0.92346,                 1.7486,                0.74476,                0.68967,                0.75592,                0.46316,                 2.2841,                 1.0171,                 2.0333,              0.0041722,              0.0041722,              0.0041722
                    149,                 1.9212,                0.93739,                 1.7435,                0.71119,                0.70606,                0.74592,                0.44721,                  2.313,                 1.1025,                 2.0174,              0.0041605,              0.0041605,              0.0041605
